,hhid,year,femaleh,hhsize,f0t6,m0t6,f7t12,m7t12,f13t15,f16t18,f19t60,m13t15,m16t18,m19t60,f61,m61,rural,posttreatment,ptreat,Primary,Junior secondary,Senior secondary,Higher,Quintile 2,Quintile 3,Quintile 4,Quintile 5,Sumatra,Java and Bali,Kalimantan,Sulawesi,%work10t12,%work13t15,%work16t18,%work10t18_x,Childlabour_x,%work10t18_y,Childlabour_y
23,120311007714.0,2005,0,6,0.0,0.16666667,0.0,0.0,0.0,0.0,0.33333334,0.0,0.16666667,0.33333334,0.0,0.0,1,0.0,0.21771613,0,1,0,0,1,0,0,0,1,0,0,0,0.0,0.0,0.16666667,0.16666667,1,0.0,0
24,120503000601.0,2005,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0.0,0.22170222,1,0,0,0,0,0,0,1,1,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0
25,120503000602.0,2005,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,1,0.0,0.15381308,0,1,0,0,0,0,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0
26,120503000607.0,2005,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0.0,0.3128018,0,0,0,0,0,0,0,1,1,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0
27,120503000610.0,2005,0,3,0.33333334,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0,0.0,0.33333334,0.0,0.0,1,0.0,0.08894821,0,0,1,0,0,0,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0
28,120503000612.0,2005,1,2,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1,0.0,0.18006374,0,0,1,0,0,0,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0
29,120503000613.0,2005,0,6,0.33333334,0.16666667,0.0,0.16666667,0.0,0.0,0.16666667,0.0,0.0,0.16666667,0.0,0.0,1,0.0,0.13068892,0,0,1,0,0,1,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0
30,120503000615.0,2005,0,4,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.25,1,0.0,0.22822933,0,1,0,0,0,1,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0
31,120503000616.0,2005,0,3,0.0,0.0,0.0,0.33333334,0.0,0.0,0.0,0.0,0.0,0.33333334,0.33333334,0.0,1,0.0,0.17692655,0,1,0,0,0,0,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0
32,120701000101.0,2005,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,1,0.0,0.17631099,1,0,0,0,0,0,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0
33,120701000104.0,2005,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0.0,0.073217675,0,1,0,0,0,0,0,1,1,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0
34,120701000106.0,2005,0,4,0.0,0.25,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,1,0.0,0.084831305,0,0,1,0,0,0,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0
35,120701000111.0,2005,0,3,0.33333334,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0,0.0,0.33333334,0.0,0.0,1,0.0,0.08789932,1,0,0,0,0,0,0,1,1,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0
36,120701000113.0,2005,0,5,0.0,0.0,0.0,0.0,0.2,0.0,0.4,0.0,0.2,0.2,0.0,0.0,1,0.0,0.14273815,1,0,0,0,0,0,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0.2,1
37,120701000114.0,2005,0,6,0.0,0.0,0.33333334,0.0,0.16666667,0.16666667,0.16666667,0.0,0.0,0.16666667,0.0,0.0,1,0.0,0.1544937,1,0,0,0,0,0,1,0,1,0,0,0,0.0,0.16666667,0.0,0.16666667,1,0.16666667,1
38,120701000116.0,2005,0,6,0.33333334,0.0,0.33333334,0.16666667,0.0,0.0,0.16666667,0.0,0.0,0.16666667,0.0,0.0,1,0.0,0.1843293,1,0,0,0,0,0,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0
39,120714000602.0,2005,0,3,0.33333334,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0,0.0,0.33333334,0.0,0.0,1,0.0,0.08789932,1,0,0,0,0,0,0,1,1,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0
40,120714000608.0,2005,0,5,0.2,0.2,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,1,0.0,0.4854728,0,0,0,0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0
41,120714000610.0,2005,0,6,0.16666667,0.0,0.0,0.16666667,0.0,0.16666667,0.16666667,0.16666667,0.0,0.16666667,0.0,0.0,1,0.0,0.18544939,0,1,0,0,0,1,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0
42,120714000611.0,2005,0,3,0.0,0.33333334,0.0,0.0,0.0,0.0,0.33333334,0.0,0.0,0.33333334,0.0,0.0,1,0.0,0.033529345,0,0,1,0,0,0,0,1,1,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0
43,120714000612.0,2005,0,6,0.0,0.16666667,0.16666667,0.0,0.16666667,0.16666667,0.16666667,0.0,0.0,0.16666667,0.0,0.0,1,0.0,0.31465504,1,0,0,0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0
44,120714000613.0,2005,0,7,0.2857143,0.0,0.14285715,0.14285715,0.0,0.0,0.14285715,0.0,0.0,0.14285715,0.14285715,0.0,1,0.0,0.2987038,1,0,0,0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0
45,120714000614.0,2005,0,3,0.33333334,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0,0.0,0.33333334,0.0,0.0,1,0.0,0.38622597,0,0,0,0,0,1,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0
46,120714000615.0,2005,0,3,0.0,0.33333334,0.0,0.0,0.0,0.0,0.33333334,0.0,0.0,0.33333334,0.0,0.0,1,0.0,0.39468384,0,0,0,0,0,1,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0
47,120714000616.0,2005,0,5,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.2,0.0,0.2,0.0,0.0,1,0.0,0.24019766,1,0,0,0,0,1,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0
48,120803001906.0,2005,0,4,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.25,0.0,0.0,0,0.0,0.15607157,1,0,0,0,0,0,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0
49,120803001907.0,2005,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0,0.0,0.15894358,1,0,0,0,0,0,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0
50,120803001909.0,2005,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.5,0.0,0,0.0,0.43648946,1,0,0,0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0
51,120803001910.0,2005,1,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.080512725,0,1,0,0,0,0,0,1,1,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0
52,120803001912.0,2005,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.25,0.0,0,0.0,0.34051442,1,0,0,0,0,1,0,0,1,0,0,0,0.0,0.0,0.25,0.25,1,0.0,0
